PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
101.25,66.5,28.05,977.65,5.5,78.42,76.25,4.25,11.68,7.45,3.12,1.0,6.7,1,0,0,0
81.0,42.0,27.77,977.73,6.97,79.97,117.32,4.58,10.85,6.3,3.08,1.02,7.37,1,0,0,0
82.25,39.0,28.12,978.2,43.65,80.52,112.63,6.5,12.93,6.43,3.45,1.18,8.2,1,0,0,0
117.75,51.75,29.7,978.6,128.68,75.83,121.27,7.62,14.58,6.9,3.9,1.23,17.25,1,0,0,0
138.25,64.5,31.07,978.88,233.88,70.8,132.93,9.02,18.95,9.93,4.17,1.33,28.55,1,0,0,0
144.0,63.0,31.9,979.1,268.42,64.12,152.57,7.72,16.3,8.58,3.33,0.97,8.93,1,0,0,0
100.25,42.75,33.5,979.17,452.7,58.4,122.75,4.3,9.83,5.55,3.6,0.88,16.25,1,0,0,0
87.5,36.0,29.52,979.17,223.38,68.57,60.68,3.02,8.4,5.38,2.95,0.8,12.75,1,0,0,0
81.75,31.25,32.15,979.05,728.93,60.35,52.03,2.9,7.68,4.78,1.78,0.62,11.1,1,0,0,0
50.75,16.25,33.55,978.55,669.07,56.28,39.55,3.0,8.38,5.38,1.88,0.65,11.3,1,0,0,0
53.5,16.0,35.05,977.68,638.67,50.85,63.05,2.53,9.47,6.92,2.53,0.67,8.32,1,0,0,0
65.5,20.75,35.25,976.95,497.45,50.62,42.42,1.55,5.7,4.2,3.62,0.62,23.7,1,0,0,0
75.5,18.25,33.8,976.2,218.5,57.62,269.17,1.35,5.83,4.5,3.48,0.68,27.95,1,0,0,0
98.5,24.75,32.5,975.88,88.35,60.43,91.05,1.1,6.5,5.38,3.0,0.7,26.8,1,0,0,0
116.5,32.0,31.55,976.17,39.6,63.68,90.9,1.03,6.85,5.85,2.35,0.73,26.18,1,0,0,0
113.75,32.25,30.65,976.58,6.65,67.78,7.97,1.1,7.5,6.4,1.85,0.77,17.73,1,0,0,0
125.75,44.5,30.42,977.2,5.57,68.53,13.42,1.65,10.25,8.62,1.93,0.87,11.78,1,0,0,0
143.25,52.0,30.1,977.95,5.57,70.58,13.47,2.17,12.03,9.82,3.15,1.08,8.22,1,0,0,0
137.5,54.5,29.73,978.07,5.55,72.3,30.4,2.35,12.07,9.72,4.18,1.12,2.75,1,0,0,0
136.75,60.25,28.67,978.1,5.53,75.67,135.22,3.0,12.53,9.5,4.33,1.1,9.82,1,0,0,0
102.25,48.25,28.18,978.12,5.57,77.17,128.15,3.65,10.9,7.25,4.3,1.08,7.78,1,0,0,0
73.0,32.0,27.9,978.08,5.55,78.2,117.93,2.9,8.7,5.8,4.42,1.05,63.45,1,0,0,0
75.0,46.0,27.77,977.33,5.57,79.17,91.05,3.9,10.9,7.0,4.42,1.05,17.52,1,0,0,0
80.25,50.75,27.8,976.67,5.5,80.03,107.95,3.67,9.55,5.92,3.8,1.2,9.43,1,0,0,0
77.75,47.25,27.6,976.8,5.53,81.72,79.6,3.7,9.53,5.85,3.7,1.2,7.0,1,0,0,0
86.0,54.0,27.85,977.35,7.47,81.42,55.0,4.92,13.53,8.6,3.88,1.3,6.55,1,0,0,0
116.75,71.5,28.55,977.9,48.92,79.0,55.38,6.75,16.7,9.98,4.38,1.38,3.5,1,0,0,0
129.5,69.25,29.83,978.55,151.15,75.05,108.85,6.42,14.47,8.03,4.62,1.4,14.0,1,0,0,0
