PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,27.3,934.0,5.8,78.3,222.0,21.7,20.4,4.9,5.6,1.6,36.2,1,0,0,0
97.0,40.0,30.2,935.0,201.2,66.4,195.0,21.7,20.4,4.9,5.6,1.6,5.1,1,0,0,0
97.0,50.0,31.52,934.08,274.25,61.58,150.0,0.95,2.3,2.9,8.45,0.82,19.12,1,0,0,0
97.0,56.0,32.0,934.05,288.6,58.77,125.75,1.67,3.42,3.82,13.4,0.35,19.12,1,0,0,0
97.0,64.25,31.6,933.93,265.88,59.92,142.5,1.85,3.85,4.25,12.25,0.35,67.85,1,0,0,0
97.0,35.0,32.88,933.98,359.98,57.98,134.5,3.8,17.2,26.47,0.5,0.35,68.8,1,0,0,0
97.0,35.0,33.38,934.0,289.2,54.68,169.25,1.42,8.6,13.97,7.2,0.37,72.78,1,0,0,0
97.0,35.0,33.17,933.9,149.62,53.8,166.5,2.25,8.8,13.12,17.35,0.23,102.0,1,0,0,0
74.0,48.0,32.95,933.9,116.52,53.6,172.5,2.2,7.43,10.6,18.2,0.53,115.2,1,0,0,0
81.0,29.0,32.17,933.98,62.57,55.2,170.75,1.65,3.92,4.8,15.27,0.65,67.1,1,0,0,0
94.0,41.0,31.18,934.0,21.45,58.78,210.25,1.85,4.7,5.97,17.77,0.77,65.17,1,0,0,0
99.0,41.0,29.82,934.0,6.08,62.47,201.5,2.35,7.08,9.72,19.52,1.08,29.3,1,0,0,0
99.0,39.0,29.5,934.0,5.62,67.53,191.5,2.05,6.55,9.23,11.82,0.75,42.48,1,0,0,0
83.0,30.0,29.1,934.0,5.65,69.55,150.75,2.98,6.75,8.08,11.82,0.38,42.33,1,0,0,0
40.0,30.0,28.3,934.0,5.65,72.08,229.5,3.68,7.3,8.05,11.82,0.62,25.15,1,0,0,0
70.0,34.0,28.02,934.0,5.57,73.05,195.25,4.05,7.5,7.92,11.82,0.67,26.4,1,0,0,0
70.0,40.0,27.62,934.0,5.65,74.7,176.75,4.03,7.4,7.7,11.82,0.4,20.67,1,0,0,0
95.0,36.0,27.23,934.0,5.6,75.9,162.25,4.6,7.47,6.98,5.58,0.38,63.9,1,0,0,0
95.0,75.0,26.98,934.0,5.65,77.88,190.0,27.9,42.8,37.8,8.4,0.6,32.5,1,0,0,0
95.0,50.0,26.7,934.0,5.75,79.53,185.0,22.98,39.02,38.12,5.88,0.62,32.58,1,0,0,0
95.0,57.0,26.6,934.0,5.7,80.78,145.0,26.07,39.88,34.95,7.2,0.55,59.42,1,0,0,0
95.0,47.0,26.73,934.0,7.03,81.25,193.5,34.92,42.23,25.93,1.4,0.5,55.4,1,0,0,0
84.0,13.0,27.32,934.0,44.38,80.95,161.25,10.25,9.85,2.8,1.4,0.7,32.8,1,0,0,0
84.0,55.0,28.55,934.0,86.93,77.58,129.75,8.67,9.25,4.08,1.4,0.75,43.0,1,0,0,0
84.0,75.0,29.45,934.0,110.08,73.35,111.25,6.35,8.6,6.42,5.9,0.7,54.2,1,0,0,0
84.0,84.0,30.15,934.0,160.03,68.98,154.5,2.67,5.38,5.95,16.48,0.35,13.1,1,0,0,0
84.0,80.0,31.97,934.0,293.77,62.35,207.75,1.95,4.42,5.35,16.7,0.3,34.85,1,0,0,0
100.0,52.0,34.9,934.0,368.65,52.2,200.0,1.77,3.88,4.52,15.15,0.12,61.77,1,0,0,0
88.0,38.0,35.25,934.0,349.22,51.45,190.25,1.72,3.2,3.35,12.9,0.43,104.95,1,0,0,0
91.0,44.0,35.35,934.0,336.3,49.85,159.0,1.47,2.85,3.05,3.57,0.47,102.2,1,0,0,0
81.0,5.0,34.33,934.0,228.88,50.3,141.75,1.23,2.65,3.05,3.98,0.42,108.3,1,0,0,0
81.0,41.0,34.0,934.0,195.32,52.03,126.75,1.45,2.85,3.1,7.43,0.4,90.9,1,0,0,0
81.0,51.0,33.65,934.0,131.22,53.8,133.75,1.45,3.02,3.4,9.12,0.5,60.9,1,0,0,0
81.0,55.0,32.67,934.0,66.55,57.5,129.0,1.5,3.43,4.15,18.12,0.72,38.9,1,0,0,0
81.0,99.0,31.75,934.0,27.52,61.17,113.25,2.35,5.27,6.28,20.55,0.75,34.35,1,0,0,0
81.0,58.0,30.82,934.0,6.4,64.17,163.25,2.38,5.1,5.95,21.33,0.95,34.45,1,0,0,0
81.0,46.0,29.57,934.0,5.63,68.9,221.0,1.85,4.22,5.12,14.45,0.62,45.8,1,0,0,0
63.0,28.0,28.8,934.0,5.65,72.23,258.5,2.42,5.12,5.83,1.4,0.9,11.9,1,0,0,0
41.0,28.0,28.4,934.0,5.72,75.4,251.25,12.05,12.58,5.15,1.4,1.28,6.9,1,0,0,0
68.0,31.0,28.17,934.0,5.67,76.68,185.5,11.93,12.12,4.55,1.4,1.2,11.35,1,0,0,0
68.0,44.0,28.02,934.0,5.68,76.83,179.25,6.62,7.95,4.78,2.15,0.6,6.85,1,0,0,0
68.0,42.0,27.8,934.0,5.8,75.85,203.5,2.9,4.3,3.57,10.43,0.23,68.3,1,0,0,0
68.0,62.0,27.27,934.0,5.7,78.3,228.25,27.8,36.6,26.3,12.5,0.6,38.17,1,0,0,0
73.0,35.0,27.0,934.0,5.67,79.97,139.5,28.65,37.17,26.0,11.55,0.5,28.5,1,0,0,0
73.0,45.0,26.8,934.0,5.78,81.05,206.75,19.15,28.23,23.75,9.8,0.5,39.92,1,0,0,0
64.0,30.0,26.8,934.0,6.88,82.22,253.25,6.3,5.88,1.32,2.63,0.65,32.2,1,0,0,0
31.0,30.0,27.25,934.0,29.92,82.65,249.0,7.17,7.2,2.52,0.4,0.6,10.98,1,0,0,0
57.0,29.0,29.43,934.0,139.55,76.6,168.75,8.3,10.65,7.3,0.65,0.55,14.85,1,0,0,0
57.0,51.0,31.43,934.0,246.7,66.15,173.0,2.65,9.47,13.7,5.1,0.23,10.07,1,0,0,0
57.0,39.0,31.75,934.0,198.18,64.1,193.25,1.77,3.73,4.25,14.6,0.35,19.33,1,0,0,0
57.0,58.0,31.12,934.0,137.82,66.32,162.5,1.38,2.42,2.35,15.68,0.52,44.12,1,0,0,0
57.0,59.0,27.3,937.65,97.33,75.97,134.25,2.08,2.88,2.2,13.98,0.45,34.6,1,0,0,0
74.0,25.0,28.52,944.58,366.95,75.97,125.25,2.58,3.5,2.7,12.62,0.52,41.48,1,0,0,0
39.0,12.0,32.0,933.98,382.32,63.08,134.25,2.5,3.53,2.73,4.0,0.45,40.9,1,0,0,0
17.0,12.0,30.85,934.0,129.7,64.32,185.75,1.77,3.73,4.28,7.17,0.65,33.9,1,0,0,0
50.0,23.0,28.5,934.0,52.7,73.38,240.25,1.65,3.78,4.58,10.1,0.85,24.0,1,0,0,0
52.0,19.0,28.35,934.0,92.7,77.12,233.75,1.75,3.9,4.6,11.53,0.83,12.1,1,0,0,0
51.0,23.0,28.5,934.0,58.7,76.08,124.75,1.55,4.1,5.22,21.62,0.88,17.73,1,0,0,0
51.0,59.0,27.95,934.0,21.43,77.17,231.5,1.93,4.97,6.4,23.7,1.2,25.08,1,0,0,0
85.0,36.0,27.52,934.0,5.88,79.47,217.25,3.97,7.15,7.45,23.68,1.38,25.38,1,0,0,0
89.0,36.0,27.35,934.0,5.73,80.92,189.75,5.42,7.95,6.6,13.65,1.42,32.93,1,0,0,0
92.0,33.0,27.37,934.0,5.65,81.0,224.5,9.1,12.12,8.85,1.9,1.15,18.9,1,0,0,0
41.0,33.0,27.25,934.0,5.65,81.35,216.0,7.47,8.28,4.17,0.83,0.72,10.8,1,0,0,0
74.0,27.0,27.1,934.0,5.6,82.2,218.25,9.88,10.18,4.0,0.88,0.78,13.13,1,0,0,0
100.0,33.0,26.82,934.0,5.65,82.6,202.0,10.57,12.45,7.2,2.55,0.65,15.4,1,0,0,0
96.0,29.0,26.6,934.0,5.75,83.55,227.5,9.65,10.02,4.1,10.1,0.5,61.0,1,0,0,0
96.0,47.0,26.62,934.0,5.65,83.57,203.25,28.2,37.8,27.8,13.3,0.6,29.98,1,0,0,0
96.0,52.0,26.5,934.02,5.67,83.72,210.0,30.77,38.45,25.12,12.32,0.47,28.95,1,0,0,0
81.0,34.0,26.38,934.02,5.65,84.2,216.0,28.67,32.93,17.98,13.12,0.6,37.2,1,0,0,0
75.0,30.0,26.45,934.0,6.95,84.55,222.75,6.57,5.8,0.82,3.5,0.62,5.5,1,0,0,0
34.0,30.0,26.83,934.0,26.42,84.33,220.25,7.78,6.7,0.7,1.28,0.57,11.1,1,0,0,0
85.0,34.0,28.0,934.0,114.03,81.85,208.75,6.78,9.78,7.95,1.3,0.45,9.45,1,0,0,0
85.0,47.0,29.0,934.0,171.0,77.92,224.0,4.72,8.75,9.15,8.2,0.45,9.33,1,0,0,0
85.0,57.0,31.25,934.0,253.82,68.75,153.75,2.7,7.83,10.57,19.5,0.43,13.2,1,0,0,0
85.0,66.0,32.6,934.0,308.62,63.65,213.25,1.88,3.75,4.22,22.2,0.4,40.62,1,0,0,0
92.0,62.0,32.43,934.0,267.85,60.5,146.0,1.55,3.3,3.85,21.27,0.35,61.18,1,0,0,0
92.0,42.0,26.25,934.2,27.25,75.72,220.0,1.45,3.58,4.47,19.23,0.38,53.33,1,0,0,0
17.0,11.0,24.7,936.47,17.75,83.12,222.0,2.08,6.93,9.82,9.85,0.42,20.25,1,0,0,0
17.0,11.0,24.8,952.43,17.15,84.67,218.5,2.0,4.35,5.1,7.45,0.45,8.83,1,0,0,0
24.0,1.0,25.27,934.5,24.1,85.28,219.75,1.93,4.12,4.8,7.42,0.6,14.07,1,0,0,0
33.0,11.0,25.35,934.2,32.98,85.28,226.0,1.8,3.4,3.6,8.8,0.6,11.6,1,0,0,0
38.0,17.0,25.45,934.17,25.65,85.45,197.0,1.8,3.48,3.78,17.92,0.68,8.77,1,0,0,0
91.0,41.0,25.42,934.18,14.97,85.57,168.5,3.4,5.03,4.23,21.8,0.95,19.92,1,0,0,0
55.0,38.0,25.52,934.28,6.45,85.7,174.5,6.53,7.9,4.83,20.72,1.43,21.62,1,0,0,0
52.0,27.0,25.45,934.27,5.67,85.85,173.25,8.82,9.4,4.12,13.35,1.32,35.65,1,0,0,0
62.0,28.0,25.38,934.25,5.7,85.6,190.5,10.88,11.18,4.38,2.3,1.27,17.25,1,0,0,0
12.0,28.0,25.68,934.28,5.75,85.67,150.5,11.02,12.07,5.78,0.95,1.32,24.3,1,0,0,0
75.0,34.0,25.45,934.35,5.68,85.9,200.0,8.78,9.8,4.97,0.73,1.2,22.95,1,0,0,0
81.0,40.0,25.35,934.4,5.7,86.15,109.75,6.53,7.7,4.5,2.9,0.62,20.5,1,0,0,0
94.0,51.0,25.2,934.43,5.67,86.4,215.5,2.62,3.4,2.35,10.32,0.2,67.5,1,0,0,0
94.0,50.0,25.2,934.38,5.65,86.53,130.25,4.2,15.2,22.2,12.8,0.2,35.02,1,0,0,0
63.0,53.0,25.22,934.33,5.67,86.62,186.0,5.18,17.88,25.62,9.85,0.15,32.18,1,0,0,0
61.0,31.0,25.07,934.35,5.7,86.7,131.75,4.45,16.12,23.47,10.27,0.45,39.05,1,0,0,0
56.0,27.0,25.18,934.33,6.5,86.77,181.75,3.6,5.8,5.35,2.75,0.43,17.35,1,0,0,0
17.0,27.0,25.6,934.3,19.38,86.6,229.5,5.47,8.6,7.67,0.3,0.6,10.32,1,0,0,0
58.0,33.0,26.1,934.15,47.95,86.2,206.25,6.62,7.3,3.55,0.6,0.68,15.65,1,0,0,0
79.0,38.0,26.95,934.08,113.92,84.62,180.75,4.05,5.35,3.8,6.88,0.4,9.1,1,0,0,0
85.0,42.0,27.32,934.0,139.85,82.45,220.0,2.95,4.15,3.23,17.08,0.55,11.43,1,0,0,0
85.0,48.0,29.0,934.0,269.25,76.45,227.75,2.07,2.88,2.23,19.27,0.4,28.65,1,0,0,0
73.0,56.0,31.07,934.0,290.27,68.7,196.5,1.8,3.2,3.2,17.5,0.55,45.77,1,0,0,0
80.0,36.0,31.83,934.0,289.48,64.35,210.0,1.55,2.95,3.17,16.47,0.97,100.8,1,0,0,0
80.0,58.0,32.42,934.0,300.55,61.95,229.25,1.77,2.88,2.7,5.88,0.8,66.28,1,0,0,0
69.0,13.0,32.2,934.0,257.38,61.35,178.0,1.5,2.58,2.52,5.38,0.52,83.45,1,0,0,0
69.0,53.0,31.58,934.0,206.65,63.2,125.75,1.85,3.75,4.2,5.27,0.45,40.07,1,0,0,0
69.0,67.0,30.07,934.0,123.83,68.88,101.25,1.8,3.3,3.45,7.8,0.65,31.53,1,0,0,0
69.0,52.0,29.25,934.0,78.23,71.82,147.5,1.8,3.15,3.17,18.7,0.65,19.95,1,0,0,0
